"abbr";"layer";"taxon";186;191;487;975;968;970;976;488;12;845;79;14;183;85;90;489;89;974;507;583;54;756;548;28;684;484;748;597;612;82;47;759;60;57;53;37;36;55;48;95;783;735;731;732;734;105;"AN";108;"AP";111;112;106;109;838;667;490;614;659;660;722;695;828;611;683;654;670;630;492;898;"C15";"C14";"C19";994;482;483;900;104;625;626;717;579;594;448;899;568;569;570;866;592;601;578;534;565;577;533;978;125;903;702;449;656;114;602;644;527;651;526;122;703;1029;"C21";"C18";"C24";"C13";"C20";652;653;101;127;97;478;926;1031;121;120
"stac sylv";"hl";"Stachys sylvatica";1;;"r";"+";;;;;"+";;"+";"+";"r";;;1;;;;;;;"+";;;;;"+";"+";1;1;"+";;1;1;"+";"+";"+";"+";;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;1;"+";;;;;"+";;;"+";;;;;;;;;;"r";;;;;;"+";;;;;;;;;;"r";;;;;;;;;;"+";;;
"stap pinn";"hl";"Staphylea pinnata";"+";"+";"r";;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;"+";1;2;;;;;;;;1;;;;;"r";;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;
"stel holo";"hl";"Stellaria holostea";;;;1;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;"+";;
"stel medi";"hl";"Stellaria media";;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"r";;;;;;;;;;;;;
"stel nemo";"hl";"Stellaria nemorum";;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;"+";1;"+";"+";"+";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"symp tube slat";"hl";"Symphytum tuberosum";"+";"+";;"+";"+";;;;"+";;"+";"+";1;1;;;;"r";;;;;"r";1;;;;"+";"+";"r";1;;1;;"+";"+";1;"+";1;;;;"+";;;;;;;;;;;;"+";;;;;;;;"+";"+";;;;;;;"r";;;;;;;;;;"r";;"+";;"+";;;;;;"+";;"+";"+";;"+";;;;;;;;;;;;;;"r";;;;;;;;;;;"+";;1;"+";
"tana cory cory";"hl";"Tanacetum corymbosum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"tara sect rude";"hl";"Taraxacum officinale agg.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"taxu bacc";"tl";"Taxus baccata B";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"taxu bacc";"hl";"Taxus baccata K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;
"taxu bacc";"sl";"Taxus baccata S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;
"teuc cham";"hl";"Teucrium chamedrys";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"thal aqui";"hl";"Thalictrum aquilegiifolium";;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";;"r";"+";;;;"+";;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"thal minu saxa";"hl";"Thalictrum minus ssp. saxatile";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"tili cord";"tl";"Tilia cordata B";2;;;3;;;3;1;;3;;;;;2;3;2;;;1;1;;;;;;;;;;"r";;;;;"+";1;;"r";"+";;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;;;"+";;"+";;;;;2;;;"+";1;;1;1;;;"+";;"+";2;2;;2;;;;;;;;;;4;;;;;;;;1;;;"+";2;;3;2;;;1
"tili cord";"hl";"Tilia cordata K";;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;"+";"+";;"+";;;;;;;;;;;;;;;;;;;;"+";;;;"r";;;;;;;;;;;;;;
"tili cord";"sl";"Tilia cordata S";;;;;;;;;;"+";;;;;1;2;"+";;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;"+";"r";;"+";;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;"r"
"tili plat";"tl";"Tilia platyphyllos B";1;2;;;;;;;2;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"r";1;1;;2;;;;1;;1;;;1;;"+";1;;3;2;;;;;;;1;;;;2;;1;;;2;2;2;;2;;;3;;;3;1;;;;3;3;2;3;1;;;1;;1;3;1
"tili plat";"hl";"Tilia platyphyllos K";;;;;;;;"r";;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;"+";;;;;;;;
"tili plat";"sl";"Tilia platyphyllos S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;"+";;"+";"+";;;;;;"+";2;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;"+";;;;;;1;;;;;;;;;"+";;;"+";;;;
"tofi caly";"hl";"Tofieldia calyculata";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"trol euro";"hl";"Trollius europaeus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ulmu glab";"tl";"Ulmus glabra B";;1;;;;"+";;;1;;;;1;2;1;;"r";;"r";;"+";"+";;;;2;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";2;"+";"+";1;;;;"+";;;"+";;;;1;;;;2;;"+";;;;"+";;1;;;;;2;;;2;1;"+";;1;1;1;;;;1;;;;;"+";;1;;;1;2;;;;"+";
"ulmu glab";"hl";"Ulmus glabra K";;;;;"r";;;;"+";;;"+";;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"r";;;;"r";;;;;;;;;;;"+";;"+";"+";"+";;;;;"+";;;;;;"r";;;;;"+";;"r";;;"+";"+";;"+";"r";;;;;"r";;"+";;"+";;;;;;;;;"+";;;;;;"+";;;;;"r";;"r";;
"ulmu glab";"sl";"Ulmus glabra S";;;;;"r";;;;"r";;;;"+";"+";;;;"+";"r";;;"+";;"r";;"+";;"r";;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;"+";;;1;;1;"+";;;;"r";;"+";1;;;;;"+";;;;;;;;;;;;"+";"+";;"+";;;;"+";;"+";;;;;;;;;;"r";;;;;;;"+";"+";"+";;"r";"r";;"+";;"r"
"ulmu laev";"tl";"Ulmus laevis B";;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ulmu mino mino";"hl";"Ulmus minor agg. K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;
"ulmu mino mino";"sl";"Ulmus minor agg. S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
"urti dioi dioi";"hl";"Urtica dioica";1;"+";;;;;;"r";"+";;;1;1;"+";"+";;;;;;;;2;;;;;;;"+";2;;"+";1;1;1;1;1;1;"+";;"+";;"+";1;"+";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;"r";;"+";"+";;;"+";;;;;;;;"+";;;;;;;1;;;;"+";;;;;"+";;;"r";"+";"+";;;;;;;"+";;1;1;1;;;;;"r";;
"vacc myrt";"hl";"Vaccinium myrtillus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;"+";;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"vale mont";"hl";"Valeriana montana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;
"vale offi slat";"hl";"Valeriana officinalis s.l.";;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"vale saxa";"hl";"Valeriana saxatilis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"vale trip";"hl";"Valeriana tripteris";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";;"+";;;;;;"+";;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;1;;;;;;;;;;;;
"vera albu albu";"hl";"Veratrum album";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"r";;"r";"+";;"+";"+";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"vero cham cham";"hl";"Veronica chamaedrys";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;"+";;"+";"r";;"+";;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"vero hede hede";"hl";"Veronica hederifolia ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"vero mont";"hl";"Veronica montana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"vero urti";"hl";"Veronica urticifolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"vibu lant";"hl";"Viburnum lantana";;;"r";;;;;;;;;;;;;"r";"r";;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;"r";;;;;;;"+";;"+";;;;;"+";;"r";;;"+";;"+";"+";"r";;"+";;;;;;"r";;;;;;;;"+";;"r";;;;;;;;;;;;;;;;;;;"r";"+";;;"+";"r";;;;;;;;;;;;
"vibu opul";"hl";"Viburnum opulus";;;;;;;;;;"+";;;;"r";"r";;;;"r";;;;;;;;;;;;;;"+";;;;"r";"r";"+";;;;;;;;;;;;;;"+";;;;;;;;;;"r";;;"r";;;;"r";;;;;;;;;;"+";;;;;;;;;;;;;;;"r";;;;"+";;"+";"r";;;;;;;;;;;;;;;;;;;;;;;
"vinc mino";"hl";"Vinca minor";;;;;;;;;;;;;1;3;;;;;;;;;;;;;;;;;2;;;;;"+";;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;3;;;"+";;;"r";1;;;2;;;;;;;;1;;;;;1;"+";;;;;;;;;;;;;;;;;
"vinc hiru";"hl";"Vincetoxicum hirundinaria";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"r";;;;;;;;"+";;;;"+";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"viol bifl";"hl";"Viola biflora";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"r";;"r";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"viol coll";"hl";"Viola collina";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"viol hirt";"hl";"Viola hirta";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;"r";;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;"r";;;;;1;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"viol mira";"hl";"Viola mirabilis";;;"r";;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"viol odor";"hl";"Viola odorata";;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"viol reic";"hl";"Viola reichenbachiana";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"viol rivi";"hl";"Viola riviniana";;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;"+";;;;;;;;;"r";;;;;;;;;;;;;;;;;;;"+";;;;
"viol ×bav";"hl";"Viola x bavarica";"+";"+";"+";1;;;"+";"+";;"+";1;;;;;;;"+";"+";;;;;"r";;;;"r";;;;;"+";"+";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"r";;;;;;"r";;;;;;;;"+";"+";;;;;;;"+";;;;;"+";"r";;;;;;;;;"+";;;;;"+";;;"+";;;;;;;;;;"r";;;"+";;;
