BEGIN HEADER

RELEVE NO.          | 5 . 5 5 5 2 5 . 5 5 . 5 5 2 . 9 | 5 5 5 5 5 5 5 5 5 5 5 5 | . . . | 5 . 5 . | . . | 5 5 5 8 8 5 . 8 7 | 7 5 7 5 9 . . | 9 9 4 7 9 9 9 | 7 7 7 9 9 | . 8 7 7 7 8 7 9 9 | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | 7 7 7 8 . 7 . . | . 7 9 7 7 9 4
LASE SILE       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . + . . . . . . . . . . . . . | . . . . . . . . . . | . . R . . . . . | . . . . . . .
LAST DRYO       @hl | . . . . . 1 . . . . . . . . . . | . . . . . . . . . . . . | 1 . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
MOEH TRIN       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | R . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . + . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
POLY JUNI       @ml | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . 1 . 1 . . .
PRUN GRAN       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + . . . . . . . . | . . . . . . . . | + . . . . . .
PRUN VULG       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | + . . + . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
RANU SERP       @hl | . R . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . + | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
SANG MINO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + . . . . . . . . | . . . . . . . . | + . . . . . .
SEDU ALBU       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | 1 . . . . . . . | + . . . . . .
SILE NUTA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | + . . 1 . . .
THUI TAMA       @ml | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . 1 . . | . . . . . . . | . . . . . | . . . . . . 1 . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
TRIF MONT       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + . . . . . . . . | . . . . . . . . | + . . . . . .
TRIF RUBE       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . + . . . . . | 1 . . . . . .
VICI SILV       @hl | . . . . . . . . . . . R . . . . | . . . . . . . . . . . . | . . . | . . . . | . + | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
VIOL COLL       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . + . . . . . . . | . . . . . . . + . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
SCRO NODO       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | + . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . 1 . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
VERO MONT       @hl | . . . + . . . . . . . . . . . + | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
LATH OCCI       @hl | . . . . . . . . . . . . . . . . | . . . . + . . . . . . + | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
PETA HYBR       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . 1 1 . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ORCH PALL       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . 1 . | . . . . . . . | . . . . . | . . . . . . . . + | . . . . . . . . . + . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . + . . . . . | . . . . . . .
PEUC CERV       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . + . . . + . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
PIRU PIRA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + . . . . . . + . | . . . . . . . . | . . . . . . .
CARD IMPA       @hl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . + + | + . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
END TABLE
